IQ-TREE multicore version 2.2.2.7.modelmix COVID-edition for Mac OS X 64-bit built Jul 13 2023
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung,
Olga Chernomor, Heiko Schmidt, Dominik Schrempf, Michael Woodhams, Ly Trong Nhan.

Host:    baiyilindeMacBook-Air.local (SSE4.2, 8 GB RAM)
Command: /Users/lindsaybai/Desktop/BIOL8706/iqtree-2.2.2.7.modelmix-MacOSX/bin/iqtree2 -s /Users/lindsaybai/Desktop/BIOL8706/one_gene_mixture/nad1alignment.fasta -m ESTMIXNUM -mrate E,I,G,I+G,R,I+R -opt_qmix_criteria 1
Seed:    203894 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Sun Aug 13 18:21:13 2023
Kernel:  SSE2 - 1 threads (8 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 8 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /Users/lindsaybai/Desktop/BIOL8706/one_gene_mixture/nad1alignment.fasta ... Fasta format detected
Reading fasta file: done in 0.0006001 secs using 70.82% CPU
Alignment most likely contains DNA/RNA sequences
Constructing alignment: done in 0.00103307 secs using 73.18% CPU
Alignment has 23 sequences with 909 columns, 412 distinct patterns
365 parsimony-informative, 70 singleton sites, 474 constant sites
                      Gap/Ambiguity  Composition  p-value
Analyzing sequences: done in 3.00407e-05 secs using 69.91% CPU
   1  6810_C_talismani        0.00%    passed     19.76%
   2  6934_R_robusta          0.00%    passed     32.84%
   3  7031_S_tenuiremis       0.00%    passed      5.88%
   4  7188_A_sargassi         0.33%    failed      0.15%
   5  7200_P_grandis          0.00%    passed      6.94%
   6  7283_R_regalis          3.96%    passed     88.35%
   7  7319_P_armatus          0.33%    passed     60.82%
   8  7455_G_splendens        0.00%    failed      0.99%
   9  7934_R_robusta          0.00%    passed     34.16%
  10  8011_E_arcticus         0.33%    passed     45.17%
  11  8243_N_edwardsii        0.33%    passed     92.58%
  12  8248_P_vigilax          1.32%    failed      0.66%
  13  8251_A_pectinatus       0.33%    passed     59.87%
  14  8254_S_atlanticus       0.33%    failed      3.79%
  15  8262_D_paraseminudus    0.00%    passed     32.27%
  16  8263_D_seminudus        0.00%    passed     31.04%
  17  8265_G_inequalis        0.99%    passed     67.39%
  18  8267_L_lucens           0.00%    passed     28.38%
  19  8270_S_aff_inermis      1.32%    failed      0.34%
  20  8292_D_paraseminudus    0.00%    passed     23.38%
  21  8315_A_pectinatus       0.33%    passed     12.25%
  22  8509_A_japonicus        0.00%    passed     20.09%
  23  8409_R_robusta          0.00%    passed     39.39%
****  TOTAL                   0.43%  5 sequences failed composition chi2 test (p-value<5%; df=3)
Checking for duplicate sequences: done in 5.79357e-05 secs using 77.67% CPU
--------------------------------------------------------------------
|                Optimizing Q-mixture model                        |
--------------------------------------------------------------------


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.002 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Optimizing NNI: done in 0.013711 secs using 90.92% CPU
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -7651.203
2. Current log-likelihood: -7648.259
3. Current log-likelihood: -7645.297
4. Current log-likelihood: -7644.051
Optimal log-likelihood: -7642.755
Rate parameters:  A-C: 2.40814  A-G: 48.93556  A-T: 3.66251  C-G: 15.99838  C-T: 99.68359  G-T: 1.00000
Base frequencies:  A: 0.271  C: 0.134  G: 0.192  T: 0.404
Proportion of invariable sites: 0.364
Gamma shape alpha: 0.363
Parameters optimization took 4 rounds (0.074 sec)
205  TIMe+R4       7877.802     52  15859.604    15866.043    16109.846
206  TIMe+R5       7865.159     54  15838.319    15845.274    16098.186
207  TIMe+R6       7862.640     56  15837.281    15844.774    16106.772
212  TIMe+I+R2     7865.596     49  15829.193    15834.897    16064.998
213  TIMe+I+R3     7859.042     51  15820.083    15826.272    16065.513
221  TPM3u+FO      8780.725     48  17657.450    17662.920    17888.443
222  TPM3u+FO+I    7872.043     49  15842.085    15847.790    16077.890
223  TPM3u+FO+G4   7689.594     49  15477.187    15482.892    15712.992
224  TPM3u+FO+I+G4 7636.422     50  15372.844    15378.788    15613.461
225  TPM3u+FO+R2   7886.578     50  15873.155    15879.099    16113.773
226  TPM3u+FO+R3   7795.577     52  15695.154    15701.593    15945.396
227  TPM3u+FO+R4   7741.094     54  15590.187    15597.143    15850.054
228  TPM3u+FO+R5   7683.256     56  15478.513    15486.006    15748.004
229  TPM3u+FO+R6   7655.982     58  15427.963    15436.015    15707.079
230  TPM3u+FO+R7   7651.107     60  15422.214    15430.846    15710.954
234  TPM3u+FO+I+R2 7685.843     51  15473.687    15479.876    15719.116
235  TPM3u+FO+I+R3 7622.882     53  15351.765    15358.459    15606.819
236  TPM3u+FO+I+R4 7618.907     55  15347.815    15355.037    15612.494
243  TPM3          8823.379     45  17736.758    17741.556    17953.314
244  TPM3+I        7997.608     46  16087.217    16092.233    16308.585
245  TPM3+G4       7911.210     46  15914.420    15919.436    16135.788
246  TPM3+I+G4     7871.448     47  15836.897    15842.137    16063.077
247  TPM3+R2       8013.347     47  16120.694    16125.934    16346.874
248  TPM3+R3       7923.371     49  15944.742    15950.447    16180.547
249  TPM3+R4       7879.149     51  15860.297    15866.486    16105.727
250  TPM3+R5       7870.631     53  15847.261    15853.956    16102.315
251  TPM3+R6       7868.638     55  15847.277    15854.498    16111.956
256  TPM3+I+R2     7874.698     48  15845.397    15850.867    16076.389
257  TPM3+I+R3     7864.753     50  15829.505    15835.449    16070.122
258  TPM3+I+R4     7862.424     52  15828.849    15835.288    16079.091
265  TPM2u+FO      8765.281     48  17626.563    17632.033    17857.556
266  TPM2u+FO+I    7874.906     49  15847.813    15853.517    16083.618
267  TPM2u+FO+G4   7690.077     49  15478.154    15483.859    15713.959
268  TPM2u+FO+I+G4 7636.868     50  15373.737    15379.681    15614.354
269  TPM2u+FO+R2   7883.107     50  15866.214    15872.158    16106.831
270  TPM2u+FO+R3   7795.809     52  15695.619    15702.058    15945.861
271  TPM2u+FO+R4   7743.074     54  15594.147    15601.103    15854.014
272  TPM2u+FO+R5   7703.574     56  15519.148    15526.641    15788.639
273  TPM2u+FO+R6   7656.179     58  15428.357    15436.409    15707.473
274  TPM2u+FO+R7   7648.043     60  15416.086    15424.718    15704.827
275  TPM2u+FO+R8   7645.100     62  15414.201    15423.435    15712.566
278  TPM2u+FO+I+R2 7685.332     51  15472.663    15478.852    15718.093
279  TPM2u+FO+I+R3 7622.458     53  15350.917    15357.611    15605.971
280  TPM2u+FO+I+R4 7617.696     55  15345.392    15352.614    15610.071
287  TPM2          8835.977     45  17761.954    17766.751    17978.510
288  TPM2+I        8018.314     46  16128.629    16133.645    16349.997
289  TPM2+G4       7929.423     46  15950.847    15955.863    16172.215
290  TPM2+I+G4     7892.620     47  15879.241    15884.481    16105.421
291  TPM2+R2       8033.973     47  16161.947    16167.187    16388.127
292  TPM2+R3       7961.532     49  16021.063    16026.767    16256.868
293  TPM2+R4       7902.131     51  15906.261    15912.450    16151.691
294  TPM2+R5       7892.413     53  15890.826    15897.521    16145.881
295  TPM2+R6       7890.280     55  15890.560    15897.781    16155.239
300  TPM2+I+R2     7898.193     48  15892.386    15897.855    16123.378
301  TPM2+I+R3     7877.110     50  15854.219    15860.163    16094.836
302  TPM2+I+R4     7875.517     52  15855.034    15861.474    16105.276
309  K3Pu+FO       8768.947     48  17633.894    17639.364    17864.886
310  K3Pu+FO+I     7867.316     49  15832.633    15838.337    16068.437
311  K3Pu+FO+G4    7698.418     49  15494.836    15500.540    15730.641
312  K3Pu+FO+I+G4  7644.398     50  15388.796    15394.740    15629.413
313  K3Pu+FO+R2    7878.806     50  15857.612    15863.556    16098.229
314  K3Pu+FO+R3    7793.221     52  15690.442    15696.881    15940.684
315  K3Pu+FO+R4    7740.857     54  15589.713    15596.669    15849.580
316  K3Pu+FO+R5    7712.637     56  15537.274    15544.767    15806.765
317  K3Pu+FO+R6    7669.133     58  15454.266    15462.318    15733.382
318  K3Pu+FO+R7    7653.304     60  15426.608    15435.240    15715.349
319  K3Pu+FO+R8    7650.260     62  15424.520    15433.754    15722.886
322  K3Pu+FO+I+R2  7684.997     51  15471.994    15478.183    15717.424
323  K3Pu+FO+I+R3  7628.114     53  15362.227    15368.922    15617.282
324  K3Pu+FO+I+R4  7622.679     55  15355.358    15362.579    15620.037
331  K3P           8830.063     45  17750.126    17754.923    17966.682
332  K3P+I         7985.002     46  16062.005    16067.021    16283.373
333  K3P+G4        7899.333     46  15890.666    15895.682    16112.034
334  K3P+I+G4      7861.512     47  15817.024    15822.264    16043.204
335  K3P+R2        8007.841     47  16109.681    16114.922    16335.861
336  K3P+R3        7939.456     49  15976.911    15982.616    16212.716
337  K3P+R4        7877.533     51  15857.066    15863.255    16102.496
338  K3P+R5        7865.970     53  15837.939    15844.634    16092.994
339  K3P+R6        7862.888     55  15835.776    15842.998    16100.455
344  K3P+I+R2      7865.642     48  15827.285    15832.754    16058.277
345  K3P+I+R3      7859.574     50  15819.148    15825.092    16059.765
353  TN+FO         8794.842     48  17685.685    17691.154    17916.677
354  TN+FO+I       7875.334     49  15848.668    15854.372    16084.473
355  TN+FO+G4      7682.722     49  15463.444    15469.148    15699.249
356  TN+FO+I+G4    7637.142     50  15374.284    15380.228    15614.901
357  TN+FO+R2      7889.719     50  15879.437    15885.381    16120.054
358  TN+FO+R3      7799.922     52  15703.844    15710.283    15954.086
359  TN+FO+R4      7742.934     54  15593.869    15600.824    15853.735
360  TN+FO+R5      7708.210     56  15528.420    15535.913    15797.911
361  TN+FO+R6      7666.929     58  15449.859    15457.910    15728.975
362  TN+FO+R7      7649.805     60  15419.611    15428.243    15708.352
363  TN+FO+R8      7647.411     62  15418.822    15428.056    15717.188
366  TN+FO+I+R2    7686.047     51  15474.095    15480.284    15719.525
367  TN+FO+I+R3    7625.018     53  15356.036    15362.731    15611.091
368  TN+FO+I+R4    7619.474     55  15348.948    15356.170    15613.627
375  TNe           8860.597     45  17811.194    17815.991    18027.750
376  TNe+I         8026.559     46  16145.118    16150.135    16366.486
377  TNe+G4        7934.111     46  15960.223    15965.239    16181.591
378  TNe+I+G4      7899.338     47  15892.675    15897.916    16118.855
379  TNe+R2        8039.136     47  16172.272    16177.513    16398.453
380  TNe+R3        7975.534     49  16049.069    16054.773    16284.874
381  TNe+R4        7912.412     51  15926.823    15933.012    16172.253
382  TNe+R5        7898.651     53  15903.302    15909.996    16158.356
383  TNe+R6        7895.474     55  15900.948    15908.170    16165.627
388  TNe+I+R2      7906.285     48  15908.570    15914.039    16139.562
389  TNe+I+R3      7883.026     50  15866.053    15871.997    16106.670
390  TNe+I+R4      7881.242     52  15866.485    15872.924    16116.727
397  HKY+FO        8797.168     47  17688.336    17693.577    17914.517
398  HKY+FO+I      7875.707     48  15847.413    15852.883    16078.406
399  HKY+FO+G4     7698.414     48  15492.828    15498.298    15723.820
400  HKY+FO+I+G4   7644.417     49  15386.834    15392.538    15622.639
401  HKY+FO+R2     7891.536     49  15881.071    15886.776    16116.876
402  HKY+FO+R3     7801.178     51  15704.355    15710.544    15949.785
403  HKY+FO+R4     7741.933     53  15589.865    15596.560    15844.919
404  HKY+FO+R5     7713.268     55  15536.535    15543.757    15801.214
405  HKY+FO+R6     7666.545     57  15447.091    15454.860    15721.394
406  HKY+FO+R7     7652.566     59  15423.132    15431.471    15707.060
407  HKY+FO+R8     7649.977     61  15421.955    15430.885    15715.508
410  HKY+FO+I+R2   7686.470     50  15472.939    15478.883    15713.557
411  HKY+FO+I+R3   7627.998     52  15359.997    15366.436    15610.239
412  HKY+FO+I+R4   7622.235     54  15352.469    15359.425    15612.336
419  K2P           8865.577     44  17819.154    17823.737    18030.897
420  K2P+I         8028.227     45  16146.453    16151.250    16363.009
421  K2P+G4        7938.144     45  15966.288    15971.086    16182.844
422  K2P+I+G4      7900.236     46  15892.472    15897.488    16113.840
423  K2P+R2        8036.668     46  16165.337    16170.353    16386.704
424  K2P+R3        7979.855     48  16055.709    16061.179    16286.702
425  K2P+R4        7911.102     50  15922.203    15928.147    16162.821
426  K2P+R5        7899.782     52  15903.564    15910.003    16153.805
427  K2P+R6        7897.252     54  15902.503    15909.459    16162.370
432  K2P+I+R2      7906.310     47  15906.621    15911.861    16132.801
433  K2P+I+R3      7883.539     49  15865.078    15870.782    16100.883
434  K2P+I+R4      7881.576     51  15865.152    15871.341    16110.582
441  F81+FO        9235.270     46  18562.539    18567.556    18783.907
442  F81+FO+I      8417.385     47  16928.771    16934.011    17154.951
443  F81+FO+G4     8344.002     47  16782.005    16787.245    17008.185
444  F81+FO+I+G4   8318.073     48  16732.147    16737.616    16963.139
445  F81+FO+R2     8434.234     48  16964.467    16969.937    17195.460
446  F81+FO+R3     8378.119     50  16856.238    16862.182    17096.855
447  F81+FO+R4     8335.852     52  16775.704    16782.143    17025.946
448  F81+FO+R5     8319.005     54  16746.009    16752.965    17005.876
449  F81+FO+R6     8317.615     56  16747.231    16754.724    17016.722
454  F81+FO+I+R2   8322.756     49  16743.512    16749.217    16979.317
455  F81+FO+I+R3   8317.207     51  16736.414    16742.603    16981.843
463  JC            9255.409     43  18596.818    18601.193    18803.749
464  JC+I          8446.868     44  16981.736    16986.319    17193.479
465  JC+G4         8381.592     44  16851.183    16855.767    17062.927
466  JC+I+G4       8352.075     45  16794.150    16798.948    17010.706
467  JC+R2         8466.214     45  17022.428    17027.225    17238.983
468  JC+R3         8410.649     47  16915.298    16920.538    17141.478
469  JC+R4         8357.005     49  16812.010    16817.715    17047.815
470  JC+R5         8350.985     51  16803.970    16810.160    17049.400
476  JC+I+R2       8356.807     46  16805.615    16810.631    17026.983
477  JC+I+R3       8351.204     48  16798.408    16803.878    17029.401
Akaike Information Criterion:           GTR+FO+I+R4
Corrected Akaike Information Criterion: GTR+FO+I+R4
Bayesian Information Criterion:         GTR+FO+I+G4
Best-fit model: GTR+FO+I+G4 chosen according to BIC

All model information printed to /Users/lindsaybai/Desktop/BIOL8706/one_gene_mixture/nad1alignment.fasta.model.gz
CPU time for ModelFinder: 69.519 seconds (0h:1m:9s)
Wall-clock time for ModelFinder: 69.585 seconds (0h:1m:9s)

NOTE: 1 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
Thoroughly optimizing +I+G parameters from 10 start values...
Init pinv, alpha: 0.000, 0.262 / Estimate: 0.000, 0.178 / LogL: -7669.334
Init pinv, alpha: 0.058, 0.262 / Estimate: 0.302, 0.225 / LogL: -7615.224
Init pinv, alpha: 0.116, 0.262 / Estimate: 0.299, 0.226 / LogL: -7615.182
Init pinv, alpha: 0.174, 0.262 / Estimate: 0.303, 0.232 / LogL: -7615.000
Init pinv, alpha: 0.232, 0.262 / Estimate: 0.308, 0.239 / LogL: -7614.920
Init pinv, alpha: 0.290, 0.262 / Estimate: 0.313, 0.248 / LogL: -7614.955
Init pinv, alpha: 0.348, 0.262 / Estimate: 0.331, 0.258 / LogL: -7615.038
Init pinv, alpha: 0.406, 0.262 / Estimate: 0.333, 0.262 / LogL: -7615.142
Init pinv, alpha: 0.464, 0.262 / Estimate: 0.452, 0.466 / LogL: -7612.112
Init pinv, alpha: 0.521, 0.262 / Estimate: 0.452, 0.469 / LogL: -7612.134
Optimal pinv,alpha: 0.452, 0.466 / LogL: -7612.112

Parameters optimization took 2.114 sec

WARNING: Estimated model parameters are at boundary that can cause numerical instability!

Wrote distance file to... 
Computing ML distances based on estimated model parameters...
Calculating distance matrix: done in 0.00228286 secs using 69.91% CPU
Computing ML distances took 0.002540 sec (of wall-clock time) 0.001654 sec (of CPU time)
